BGC	antiSMASH products	Core Biosynthetic Protein content	Core Biosynthetic Protein IDs	Core Biosynthetic Protein Identifiers	Metabolites
JCM4529.region22	T2PKS	T2PKS, T2PKS	WP_019326887.1, WP_127438225.1	JCM4529.region22~L0+CDS28, JCM4529.region22~L0+CDS29	
JCM4529.region23	terpene	terpene	WP_078855219.1	JCM4529.region23~L0+CDS10	
JCM4529.region24	ectoine	ectoine	WP_019329312.1	JCM4529.region24~L0+CDS5	
JCM4529.region25	NRPS-like	NRPS-like	WP_125537098.1	JCM4529.region25~L0+CDS17	
JCM4529.region26	butyrolactone, NRPS	butyrolactone, NRPS, NRPS, NRPS, NRPS	WP_193516799.1, WP_127441733.1, WP_127441734.1, WP_046249762.1, WP_127441735.1	JCM4529.region26~L0+CDS5, JCM4529.region26~L0+CDS25, JCM4529.region26~L0+CDS26, JCM4529.region26~L0+CDS31, JCM4529.region26~L0+CDS39	
JCM4529.region27	NRPS-like, T1PKS, NRPS	NRPS, T1PKS, NRPS, NRPS, PKS-NRPS_hybrid, T1PKS	WP_193516849.1, WP_193516858.1, WP_193516852.1, WP_193516859.1, WP_193450315.1, WP_193516856.1	JCM4529.region27~L0+CDS20, JCM4529.region27~L0+CDS24, JCM4529.region27~L0+CDS25, JCM4529.region27~L0+CDS26, JCM4529.region27~L0+CDS42, JCM4529.region27~L0+CDS45	
JCM4529.region28	siderophore	siderophore, siderophore	WP_193449154.1, WP_193449155.1	JCM4529.region28~L0+CDS6, JCM4529.region28~L0+CDS7	
JCM4529.region29	NRPS-like	NRPS-like	WP_193516883.1	JCM4529.region29~L0+CDS17	
JCM4529.region30	terpene	terpene, terpene	WP_019324140.1, WP_193516889.1	JCM4529.region30~L0+CDS9, JCM4529.region30~L0+CDS11	
JCM4529.region31	hglE-KS, T1PKS	T1PKS, T1PKS, hglE-KS, hglE-KS	WP_193516961.1, WP_193516962.1, WP_193516963.1, WP_193516964.1	JCM4529.region31~L0+CDS1, JCM4529.region31~L0+CDS2, JCM4529.region31~L0+CDS4, JCM4529.region31~L0+CDS5	
JCM4529.region32	T1PKS	T1PKS, T1PKS, T1PKS, T1PKS	WP_193516983.1, WP_193516984.1, WP_193516985.1	JCM4529.region32~L0+CDS1, JCM4529.region32~L0+CDS3, JCM4529.region32~L0+CDS4, JCM4529.region32~L0+CDS5	
JCM4529.region33	terpene	terpene, terpene	WP_127440924.1, WP_125538196.1	JCM4529.region33~L0+CDS3, JCM4529.region33~L0+CDS7	
JCM4529.region34	T2PKS	T2PKS, T2PKS, T2PKS, T2PKS	WP_030970827.1, WP_029394634.1, WP_193517011.1, WP_193517012.1	JCM4529.region34~L0+CDS15, JCM4529.region34~L0+CDS16, JCM4529.region34~L0+CDS28, JCM4529.region34~L0+CDS29	
JCM4529.region35	NRPS	NRPS	WP_193517063.1	JCM4529.region35~L0+CDS1	
JCM4529.region36	NRPS	NRPS, NRPS	WP_193517071.1, WP_193517072.1	JCM4529.region36~L0+CDS1, JCM4529.region36~L0+CDS2	
JCM4529.region37	T1PKS	T1PKS	WP_193517074.1	JCM4529.region37~L0+CDS2	
JCM4529.region38	NRPS	NRPS, NRPS	WP_193517075.1, WP_193517076.1	JCM4529.region38~L0+CDS1, JCM4529.region38~L0+CDS2	
JCM4529.region39	T1PKS	T1PKS	WP_193517078.1	JCM4529.region39~L0+CDS1	
JCM4529.region40	T1PKS	T1PKS	WP_193517081.1	JCM4529.region40~L0+CDS1	
JCM4529.region41	T1PKS	T1PKS	WP_193517082.1	JCM4529.region41~L0+CDS1	
JCM4529.region42	NRPS	NRPS	WP_193517083.1	JCM4529.region42~L0+CDS1	
