BGC	Core Biosynthetic Protein type	Protein identifier	Protein Id	Gene Id	Domain architecture
JCM4529.region25	NRPS-like	JCM4529.region25~L0+CDS17	WP_125537098.1		A | A_C >
JCM4529.region26	butyrolactone	JCM4529.region26~L0+CDS5	WP_193516799.1		 >
JCM4529.region26	NRPS	JCM4529.region26~L0+CDS25	WP_127441733.1		A >
JCM4529.region26	NRPS	JCM4529.region26~L0+CDS26	WP_127441734.1		C >
JCM4529.region26	NRPS	JCM4529.region26~L0+CDS31	WP_046249762.1		A | A_C >
JCM4529.region26	NRPS	JCM4529.region26~L0+CDS39	WP_127441735.1		A | A_C >
JCM4529.region27	NRPS	JCM4529.region27~L0+CDS20	WP_193516849.1		A | A_C >
JCM4529.region27	NRPS	JCM4529.region27~L0+CDS25	WP_193516852.1		C | A | A_C | C | A | KR >
JCM4529.region27	NRPS	JCM4529.region27~L0+CDS26	WP_193516859.1		C >
JCM4529.region27	T1PKS	JCM4529.region27~L0+CDS24	WP_193516858.1		KS | KS_C | KS_Ce | AT >
JCM4529.region27	T1PKS	JCM4529.region27~L0+CDS45	WP_193516856.1		KS | KS_C | KS_Ce | AT | DH | KR >
JCM4529.region27	PKS-NRPS_hybrid	JCM4529.region27~L0+CDS42	WP_193450315.1		A | A_C | KS | KS_C | KS_Ce | AT >
JCM4529.region28	siderophore	JCM4529.region28~L0+CDS6	WP_193449154.1		IucA_IucC >
JCM4529.region28	siderophore	JCM4529.region28~L0+CDS7	WP_193449155.1		IucA_IucC >
JCM4529.region29	NRPS-like	JCM4529.region29~L0+CDS17	WP_193516883.1		A | A_C >
JCM4529.region30	terpene	JCM4529.region30~L0+CDS9	WP_019324140.1		SQS_PSY >
JCM4529.region30	terpene	JCM4529.region30~L0+CDS11	WP_193516889.1		LycC >
JCM4529.region31	T1PKS	JCM4529.region31~L0+CDS1	WP_193516961.1		KS | KS_C | KS_Ce | AT | DH | ER >
JCM4529.region31	T1PKS	JCM4529.region31~L0+CDS2	WP_193516962.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | KR >
JCM4529.region31	hglE-KS	JCM4529.region31~L0+CDS4	WP_193516963.1		KS | KS_C | KS_Ce | KS | AT >
JCM4529.region31	hglE-KS	JCM4529.region31~L0+CDS5	WP_193516964.1		KS | KS_C | AT | KR | DH >
JCM4529.region32	T1PKS	JCM4529.region32~L0+CDS1	WP_193516983.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT >
JCM4529.region32	T1PKS	JCM4529.region32~L0+CDS3			KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | DH | ER | KR | KS | KS_C | KS_Ce >
JCM4529.region32	T1PKS	JCM4529.region32~L0+CDS4	WP_193516984.1		KS | KS_C | KS_Ce | AT | DH >
JCM4529.region32	T1PKS	JCM4529.region32~L0+CDS5	WP_193516985.1		KS | KS_C | KS_Ce | AT | KR | KS | KS_C | KS_Ce | AT | DH | ER | KR >
JCM4529.region33	terpene	JCM4529.region33~L0+CDS3	WP_127440924.1		SQS_PSY >
JCM4529.region33	terpene	JCM4529.region33~L0+CDS7	WP_125538196.1		LycC >
JCM4529.region34	T2PKS	JCM4529.region34~L0+CDS15	WP_030970827.1		KS | KS_C >
JCM4529.region34	T2PKS	JCM4529.region34~L0+CDS16	WP_029394634.1		KS | KS_C >
JCM4529.region34	T2PKS	JCM4529.region34~L0+CDS28	WP_193517011.1		KS | KS_C >
JCM4529.region34	T2PKS	JCM4529.region34~L0+CDS29	WP_193517012.1		KS | KS_C >
JCM4529.region35	NRPS	JCM4529.region35~L0+CDS1	WP_193517063.1		C | A | A_C | C | A | A_C | C | A | A_C | C | C >
JCM4529.region36	NRPS	JCM4529.region36~L0+CDS1	WP_193517071.1		C | A | A_C | C >
JCM4529.region36	NRPS	JCM4529.region36~L0+CDS2	WP_193517072.1		C | A | A_C | C | A | A_C | C >
JCM4529.region37	T1PKS	JCM4529.region37~L0+CDS2	WP_193517074.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT >
JCM4529.region38	NRPS	JCM4529.region38~L0+CDS1	WP_193517075.1		C | A | A_C | C >
JCM4529.region38	NRPS	JCM4529.region38~L0+CDS2	WP_193517076.1		A | A_C | C | A | A_C | C >
JCM4529.region39	T1PKS	JCM4529.region39~L0+CDS1	WP_193517078.1		DH | KR | KS | KS_C | KS_Ce | AT | DH >
JCM4529.region40	T1PKS	JCM4529.region40~L0+CDS1	WP_193517081.1		KS | KS_C | KS_Ce | AT | DH | ER >
JCM4529.region41	T1PKS	JCM4529.region41~L0+CDS1	WP_193517082.1		KS | KS_C | KS_Ce | AT | DH >
JCM4529.region42	NRPS	JCM4529.region42~L0+CDS1	WP_193517083.1		A | A_C | C >
