BGC	Core Biosynthetic Protein type	Protein identifier	Protein Id	Gene Id	Domain architecture
SID8161.region22	T2PKS	SID8161.region22~L0+CDS6	WP_164287226.1		KS | KS_C >
SID8161.region23	ectoine	SID8161.region23~L0+CDS6	WP_019329312.1		 >
SID8161.region24	T2PKS	SID8161.region24~L0+CDS6	WP_164289359.1		KS | KS_C >
SID8161.region24	T2PKS	SID8161.region24~L0+CDS7	WP_164289361.1		KS | KS_C >
SID8161.region25	NRPS	SID8161.region25~L0+CDS1	WP_164290087.1		C | A >
SID8161.region25	NRPS	SID8161.region25~L0+CDS2	WP_164290089.1		C | A | A_C | C | A | A_C >
SID8161.region25	NRPS	SID8161.region25~L0+CDS3	WP_164290091.1		A | A_C >
SID8161.region26	T1PKS	SID8161.region26~L0+CDS1	WP_164286686.1		KS | KS_C | KS_Ce | AT | DH >
SID8161.region27	T1PKS	SID8161.region27~L0+CDS1	WP_164288197.1		KS | KS_C | KS_Ce | AT | DH | ER >
SID8161.region28	NRPS	SID8161.region28~L0+CDS1	WP_164286819.1		A | A_C | C >
SID8161.region29	T1PKS	SID8161.region29~L0+CDS1	WP_164286565.1		AT | DH | KR | KS | KS_C | KS_Ce >
SID8161.region30	siderophore	SID8161.region30~L0+CDS1	WP_164284882.1		IucA_IucC >
SID8161.region31	RiPP-like	SID8161.region31~L0+CDS2	WP_019327743.1		 >
SID8161.region32	siderophore	SID8161.region32~L0+CDS5	WP_164287932.1		IucA_IucC >
SID8161.region33	siderophore	SID8161.region33~L0+CDS4	WP_164290363.1		IucA_IucC >
SID8161.region33	siderophore	SID8161.region33~L0+CDS5	WP_125772378.1		IucA_IucC >
SID8161.region34	NRPS	SID8161.region34~L0+CDS1	WP_164285128.1		C | A | A_C | C | C | A >
SID8161.region35	NRPS	SID8161.region35~L0+CDS1	WP_164290012.1		C | A | A_C >
SID8161.region36	indole	SID8161.region36~L0+CDS7	WP_164289790.1		DMAT >
SID8161.region37	T1PKS	SID8161.region37~L0+CDS1	WP_164285261.1		KS_C | KS_Ce | AT >
SID8161.region38	NRPS	SID8161.region38~L0+CDS1			C >
SID8161.region38	NRPS	SID8161.region38~L0+CDS2	WP_164287476.1		C | A | A_C | C | A | A_C | C >
SID8161.region39	NRPS	SID8161.region39~L0+CDS1	WP_164287480.1		C | A >
SID8161.region40	T1PKS	SID8161.region40~L0+CDS1	WP_164284584.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C >
SID8161.region41	T1PKS	SID8161.region41~L0+CDS1	WP_164286051.1		AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce >
SID8161.region42	T1PKS	SID8161.region42~L0+CDS5	WP_164289539.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR >
SID8161.region42	T1PKS	SID8161.region42~L0+CDS6	WP_164289553.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR >
SID8161.region42	T1PKS	SID8161.region42~L0+CDS7	WP_164289555.1		KS | KS_C | KS_Ce | AT | DH | KR | KS | KS_C | KS_Ce | AT | DH | KR >
SID8161.region42	T1PKS	SID8161.region42~L0+CDS8	WP_164289541.1		KS | KS_C | KS_Ce | AT | KR >
SID8161.region42	T1PKS	SID8161.region42~L0+CDS9	WP_164289543.1		KS | KS_C | KS_Ce | AT | DH | KR >
SID8161.region43	T1PKS	SID8161.region43~L0+CDS1	WP_164288382.1		ER | KR | KS | KS_C | KS_Ce | AT | DH | ER | KR | KS | KS_C | KS_Ce | AT >
SID8161.region44	T1PKS	SID8161.region44~L0+CDS1	WP_164289305.1		KR | KS | KS_C | KS_Ce | AT >
SID8161.region45	NRPS	SID8161.region45~L0+CDS1	WP_164286276.1		C | C | A | A_C >
SID8161.region46	indole	SID8161.region46~L0+CDS5	WP_164286743.1		DMAT >
SID8161.region47	NRPS	SID8161.region47~L0+CDS1	WP_164288875.1		A | A_C | C | A | A_C | C | A | A_C >
SID8161.region48	T1PKS	SID8161.region48~L0+CDS1	WP_164287190.1		KS | KS_C | KS_Ce | AT | KR >
SID8161.region49	hglE-KS	SID8161.region49~L0+CDS10	WP_164289317.1		KS | KS_C | AT >
SID8161.region50	lanthipeptide-class-iii	SID8161.region50~L0+CDS1	WP_164285479.1		 >
SID8161.region51	terpene	SID8161.region51~L0+CDS12	WP_164285680.1		SQS_PSY >
SID8161.region52	NRPS-like	SID8161.region52~L0+CDS2	WP_164286500.1		A >
SID8161.region53	terpene	SID8161.region53~L0+CDS10	WP_046248604.1	shc	SQ_hopN | SQ_hopC >
SID8161.region54	terpene	SID8161.region54~L0+CDS8	WP_031020309.1	hpnC	SQS_PSY >
SID8161.region54	terpene	SID8161.region54~L0+CDS9	WP_019330380.1	hpnD	SQS_PSY >
SID8161.region55	RiPP-like	SID8161.region55~L0+CDS6	WP_164288888.1		 >
